"correlationLowerBound","correlationUpperBound","correlation","correlationPear","distance","upToAirQuality","valueToUse","samples","latitudeStart"
-0.0967762900896535,-0.0036879762833957,-0.0507115496687996,-0.00922678038583727,18000,20,"pm2_5",1764,25.6112362
-0.0971360510255062,-0.00365712727820308,-0.0504290925054433,-0.0128330587583596,18000,22,"pm2_5",1771,25.6112362
-0.0982467893465313,-0.00539728615920219,-0.0531406016651939,-0.0214701941554107,20000,28,"pm2_5",1819,25.6112362
-0.0983837855549375,-0.00392582749853263,-0.0520873343575493,-0.0157734552418671,18000,24,"pm2_5",1776,25.6112362
-0.0988683050396471,-0.00793864729475411,-0.0546090748805357,-0.0236868771470486,20000,32,"pm2_5",1822,25.6112362
-0.0995248986749076,-0.00848201902095768,-0.0555616833914798,-0.00809891786587964,20000,18,"pm2_5",1778,25.6112362
-0.0995828765295673,-0.00849564149031421,-0.0546003378596577,-0.0207862758239409,18000,30,"pm2_5",1784,25.6112362
-0.100229569916615,-0.00584158202191389,-0.052990497370891,-0.0221956180207413,20000,30,"pm2_5",1820,25.6112362
-0.101527029897283,-0.0116211099834531,-0.057827280392138,-0.0267295049981082,20000,36,"pm2_5",1826,25.6112362
-0.102926633957853,-0.00827610529750924,-0.0537665857106,-0.0208804364054595,20000,26,"pm2_5",1818,25.6112362
-0.103275789026215,-0.0114065636637701,-0.0586607534242838,-0.0245827596088738,18000,34,"pm2_5",1789,25.6112362
-0.103467899607521,-0.00797339296989631,-0.0562293598019999,-0.0222932328720895,18000,32,"pm2_5",1786,25.6112362
-0.103604004922112,-0.0136358237951956,-0.0594679967048867,-0.0253699748654386,18000,36,"pm2_5",1790,25.6112362
